listing_id,host_id,host_name,borough,neighbourhood,latitude,longitude,accomodation_type,price_per_night,minimum_nights,number_of_positive_reviews,positive_reviews_per_month
2539,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21
2595,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38
3831,4869,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64
5022,7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1
5099,7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59
5121,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4
5178,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47
5203,7490,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99
5238,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33
5295,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43
5441,7989,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5
5803,9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34
6021,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91
6090,11975,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,0.22
6848,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2
7097,17571,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72
7322,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12
7726,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44
7801,21207,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07
8024,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09
8025,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37
8110,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61
8490,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73
8505,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37
9357,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49
9518,31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11
9657,21904,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24
9668,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04
9704,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42
9782,32169,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65
9783,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37
10452,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66
10962,9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41
11708,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96
12048,7549,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,1.81
12192,46978,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08
12299,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39
12303,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23
12318,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69
12343,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84
12627,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49
12937,50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25
12940,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52
13050,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1
13394,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16
13808,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01
14287,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63
14290,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7
14314,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82
14322,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22
14377,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9
14991,59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17
15220,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49
15338,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19
15341,60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3
15385,60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38
15396,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,0.12
15711,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57
16326,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33
16338,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23
16421,63924,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65
16458,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16
16580,64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72
16595,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4
16821,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26
16974,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64
17037,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43
17092,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43
17693,68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6
17747,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92
18127,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2
18152,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5
18198,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22
18590,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28
18728,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65
18764,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54
19159,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49
19169,73128,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62
19282,73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15
19319,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84
19601,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,0.24
19812,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53
20299,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73
20300,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05
20611,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54
20724,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28
20734,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4
20755,51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2
20853,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3
20913,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57
21293,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05
21456,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71
21644,82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11
21794,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27
22911,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23
22918,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87
23135,11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09
23501,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6
23686,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55
24143,97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02
24285,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79
25235,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,1.46
25406,105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4
25696,107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61
26012,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2
26362,59734,Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3
26520,51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2
26559,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13
26785,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22
26933,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06
26954,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38
26969,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01
27006,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27
27385,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05
27531,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2
27644,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03
27659,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24
27759,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12
27883,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23
28321,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08
28396,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08
